,source,target,value
232,Shireen Baratheon,Stannis Baratheon,4
233,Davos Seaworth,Renly Baratheon,2
234,Renly Baratheon,Stannis Baratheon,2
235,Petyr Baelish,Stannis Baratheon,2
236,Petyr Baelish,Sansa Stark,6
237,Daenerys Targaryen,Grey Worm,2
238,Grey Worm,Missandei,2
239,Jorah Mormont,Missandei,2
240,Jorah Mormont,Khal Drogo,2
241,Khal Drogo,Septa Mordane,2
242,Cersei Lannister,Margaery Tyrell,3
243,High Sparrow,Lancel Lannister,2
244,Lancel Lannister,Theon Greyjoy,2
245,Rickon Stark,Theon Greyjoy,4
246,Jon Snow,Theon Greyjoy,2
247,Jon Snow,Rickon Stark,3
248,Rickon Stark,Stannis Baratheon,2
249,Khal Drogo,Stannis Baratheon,2
