,source,target,value
106,Euron Greyjoy,Gregor Clegane,4
107,Gregor Clegane,Oberyn Martell,9
108,Myrcella Baratheon,Oberyn Martell,6
109,Gregor Clegane,Myrcella Baratheon,3
110,Ellaria Sand,Oberyn Martell,2
111,Ellaria Sand,Gregor Clegane,3
112,Myrcella Baratheon,Qyburn,3
113,Euron Greyjoy,Qyburn,2
114,Daenerys Targaryen,Euron Greyjoy,2
115,Jon Snow,Night King,10
116,Cersei Lannister,Night King,13
117,Jon Snow,Maester Wolkan,2
118,Cersei Lannister,Maester Wolkan,2
119,Bran Stark,Sansa Stark,4
120,Jon Snow,Sansa Stark,6
121,Bran Stark,Jon Snow,2
122,Bran Stark,Daenerys Targaryen,2
123,Archmaester Ebrose,Daenerys Targaryen,4
124,Archmaester Ebrose,Euron Greyjoy,4
125,Euron Greyjoy,Khal Drogo,2
126,Cersei Lannister,Olenna Tyrell,10
127,Euron Greyjoy,Robb Stark,2
128,Daenerys Targaryen,High Septon,2
129,Bronn,Daenerys Targaryen,2
130,Bronn,Qyburn,2
131,Bran Stark,Qyburn,2
132,Bran Stark,Meera Reed,3
133,Maester Wolkan,Meera Reed,2
134,Bran Stark,Maester Wolkan,4
135,Bran Stark,Hodor,5
136,Arya Stark,Bran Stark,8
137,Arya Stark,Sansa Stark,8
138,Eddard Stark,Sansa Stark,7
139,Bran Stark,Cersei Lannister,2
140,Cersei Lannister,Petyr Baelish,2
141,Catelyn Stark,Petyr Baelish,2
142,Catelyn Stark,Podrick Payne,2
143,Jon Snow,Podrick Payne,2
144,Cersei Lannister,Grey Worm,4
145,Grey Worm,Tyrion Lannister,2
146,Brienne of Tarth,Tyrion Lannister,2
147,Davos Seaworth,Podrick Payne,2
148,Davos Seaworth,Night King,6
149,Missandei,Night King,2
150,Euron Greyjoy,Sansa Stark,2
151,Jaime Lannister,Rickon Stark,4
152,Dickon Tarly,Rickon Stark,4
153,Dickon Tarly,Olenna Tyrell,2
154,Khal Drogo,Olenna Tyrell,2
155,Khal Drogo,Qyburn,2
156,Bran Stark,Eddard Stark,1
157,Meera Reed,Night King,1
158,Night King,Ramsay Bolton,2
159,Harald Karstark,Ramsay Bolton,4
160,Eddard Stark,Ramsay Bolton,2
161,Alys Karstark,Eddard Stark,7
162,Alys Karstark,Joffrey Baratheon,2
163,Cersei Lannister,Robb Stark,2
164,Stannis Baratheon,Tyrion Lannister,2
165,Ellaria Sand,Stannis Baratheon,2
166,Ellaria Sand,Olenna Tyrell,2
167,Eddard Stark,Olenna Tyrell,2
168,Daenerys Targaryen,Tommen Baratheon,2
169,Cersei Lannister,Tommen Baratheon,2
170,Archmaester Ebrose,Robert Baratheon,6
171,Robert Baratheon,Samwell Tarly,5
172,Brienne of Tarth,Samwell Tarly,2
173,Brienne of Tarth,Petyr Baelish,2
174,Petyr Baelish,Ramsay Bolton,3
175,Ramsay Bolton,Thoros of Myr,2
176,Jon Snow,Thoros of Myr,2
177,Jon Snow,Stannis Baratheon,3
178,Daenerys Targaryen,Stannis Baratheon,2
179,Cersei Lannister,Viserys Targaryen,3
180,Cersei Lannister,Varys,2
181,Robert Baratheon,Varys,4
182,Varys,Viserys Targaryen,2
183,Khal Drogo,Viserys Targaryen,2
184,Khal Drogo,Robert Baratheon,2
185,Daenerys Targaryen,Varys,2
186,Grey Worm,Varys,4
187,Melisandre,Varys,2
188,Melisandre,Stannis Baratheon,2
189,Stannis Baratheon,Varys,2
190,Jon Snow,Varys,2
191,Jon Snow,Olenna Tyrell,2
192,Jaime Lannister,Olenna Tyrell,2
193,Dickon Tarly,Randyll Tarly,11
194,Dickon Tarly,Robert Baratheon,2
195,Jaime Lannister,Robert Baratheon,2
196,Olenna Tyrell,Randyll Tarly,2
197,Randyll Tarly,Stannis Baratheon,2
198,Archmaester Ebrose,Stannis Baratheon,3
199,Archmaester Ebrose,Shireen Baratheon,2
200,Samwell Tarly,Shireen Baratheon,2
201,Jorah Mormont,Samwell Tarly,7
202,Myrcella Baratheon,Robert Baratheon,2
203,Oberyn Martell,Tyrion Lannister,2
204,Olenna Tyrell,Tyrion Lannister,4
205,Grey Worm,Olenna Tyrell,2
206,Cersei Lannister,Missandei,2
207,Archmaester Ebrose,Missandei,2
208,Archmaester Ebrose,Jorah Mormont,7
209,Jeor Mormont,Jorah Mormont,5
210,Cersei Lannister,Samwell Tarly,2
211,Arya Stark,Hot Pie,10
212,Cersei Lannister,Hot Pie,2
213,Hot Pie,Samwell Tarly,2
214,Daenerys Targaryen,Davos Seaworth,3
215,Nymeria Sand,Sansa Stark,2
216,Arya Stark,Nymeria Sand,5
217,Cersei Lannister,Nymeria Sand,2
218,Cersei Lannister,Gregor Clegane,7
219,Cersei Lannister,Randyll Tarly,2
220,Daenerys Targaryen,Dickon Tarly,2
221,Daenerys Targaryen,Randyll Tarly,3
222,Dickon Tarly,Qyburn,2
223,Qyburn,Tyrion Lannister,2
224,Joffrey Baratheon,Tyrion Lannister,5
225,Joffrey Baratheon,Olenna Tyrell,2
226,Olenna Tyrell,Tommen Baratheon,3
227,Davos Seaworth,Olenna Tyrell,2
228,Davos Seaworth,Jorah Mormont,2
229,Maester Wolkan,Night King,2
230,Archmaester Ebrose,Bran Stark,2
231,Archmaester Ebrose,Maester Wolkan,4
232,Bran Stark,Night King,3
233,Jaime Lannister,Jorah Mormont,2
234,Bronn,Jon Snow,2
235,Cersei Lannister,Robert Baratheon,2
236,Cersei Lannister,Gendry,2
237,Gendry,Jaime Lannister,2
238,Bronn,Tyrion Lannister,2
239,Bronn,Robert Baratheon,2
240,Gendry,Robert Baratheon,3
241,Davos Seaworth,Grey Worm,2
242,Gilly,Grey Worm,2
243,Gilly,High Septon,2
244,High Septon,Night King,3
245,Night King,Robert Baratheon,2
246,Robb Stark,Sansa Stark,3
247,Arya Stark,Sandor Clegane,2
248,Sandor Clegane,Thoros of Myr,2
